ID,Object,Question,Weight,Cypher,Answer,Evidence
c102DS01Q01,Tacit knowledge,which tacit knowledge elements are described?,1,"MATCH (tk:TacitKnowledge)
RETURN DISTINCT tk","Human action intentions, Robot operational skills, Real-time spatial behaviors, Collaborative coordination skills, Robot learning and adaptation skills, Human-robot conversational feedback","[{'tk': {'evidence_statement': 'The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.', 'node_name': 'Human action intentions', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N01'}}, {'tk': {'evidence_statement': 'The LLM-based method enables a robot to acquire skills from a task description.', 'node_name': 'Robot operational skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N02'}}, {'tk': {'evidence_statement': 'perceive intricate environments', 'node_name': 'Real-time spatial behaviors', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N12'}}, {'tk': {'evidence_statement': 'bi-directional assistance and feedback between humans and robots', 'node_name': 'Collaborative coordination skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N13'}}, {'tk': {'evidence_statement': 'acquire new operational skills through human-robot interaction or curriculum learning', 'node_name': 'Robot learning and adaptation skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N14'}}, {'tk': {'evidence_statement': 'human-LLM-robot and robot-LLM-human conversations', 'node_name': 'Human-robot conversational feedback', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N15'}}]"
c102DS01Q02,Knowledge Holder,Which knowledge holders are described?,2,"MATCH (kh:KnowledgeHolder)
RETURN DISTINCT kh","Humans, Robots, and Human","[{'kh': {'evidence_statement': 'both the robot and the human have their own autonomy', 'node_name': 'Humans', 'category': 'Knowledge Holder', 'node_id': 'c102M02N16'}}, {'kh': {'evidence_statement': 'robotic component within the loop functions acts as a natural extension of the human body', 'node_name': 'Robots', 'category': 'Knowledge Holder', 'node_id': 'c102M02N17'}}, {'kh': {'evidence_statement': 'Temporal-video examples show a human touching the robot and reaching out a hand, from which intentions are predicted.', 'node_name': 'Human', 'category': 'Knowledge Holder', 'node_id': 'c102M01N10'}}]"
c102DS01Q03,Traditional Human-centred Practices,Which traditional human-centred practice elements are described?,2,"MATCH (t:TraditionalHumancentralPractice)
RETURN DISTINCT t","Scene perception, Scene graph construction, and Task interpretation are described as traditional human-centred practice elements.","[{'t': {'evidence_statement': 'utilized to detect various objects, such as humans, robots, and industrial parts, within the HRC workspace', 'node_name': 'Scene perception', 'category': 'Traditional Human-central Practice', 'node_id': 'c102M02N21'}}, {'t': {'evidence_statement': 'learns the relationships between these objects and establishes connections using diverse edge types', 'node_name': 'Scene graph construction', 'category': 'Traditional Human-central Practice', 'node_id': 'c102M02N22'}}, {'t': {'evidence_statement': 'based on the object-predict-subject triples derived from the scene graph, task interpretations for different HRC scenarios are generated', 'node_name': 'Task interpretation', 'category': 'Traditional Human-central Practice', 'node_id': 'c102M02N23'}}]"
c102DS01Q04,technology-enable Practice,Which technology‑enable practices have been described?,1,"MATCH (p:TechnologyenablePractice)
RETURN DISTINCT p","The technology-enabled practices described include sampling-based motion planner, geometry-based grasp sampler, placement sampler, robot low-code execution, traditional multi-step task interpretation, scene perception module, scene graph construction, scene-graph-based task interpretation, LLM-based task interpretation, human intention narration approach, language-guided robot skill acquisition approach, and 6-DOF exploration primitive.","[{'p': {'evidence_statement': 'The 6-DOF exploration primitive includes a sampling-based motion planner.', 'node_name': 'Sampling-based motion planner', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N20'}}, {'p': {'evidence_statement': ""The grasp sampler explores points in an object's point cloud to identify suitable grasps."", 'node_name': 'Geometry-based grasp sampler', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N21'}}, {'p': {'evidence_statement': 'The placement sampler determines optimal placement poses.', 'node_name': 'Placement sampler', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N22'}}, {'p': {'evidence_statement': 'language-guided robot skill acquisition approach initially decomposes the task description recursively into subtasks', 'node_name': 'Robot low-code execution', 'category': 'Technology-enable Practice', 'node_id': 'c102M02N26'}}, {'p': {'evidence_statement': 'Traditional task interpretation involves scene perception, scene graph construction, and task interpretation.', 'node_name': 'Traditional multi-step task interpretation', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N12'}}, {'p': {'evidence_statement': 'The scene perception module detects humans, robots, and industrial parts in the HRC workspace.', 'node_name': 'Scene perception module', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N13'}}, {'p': {'evidence_statement': 'The scene graph model learns object relationships and establishes connections using different edge types.', 'node_name': 'Scene graph construction', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N14'}}, {'p': {'evidence_statement': 'Task interpretations are generated from triples derived from the scene graph.', 'node_name': 'Scene-graph-based task interpretation', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N15'}}, {'p': {'evidence_statement': 'GPT-4 uses a given image and a prompt to produce detailed scene depictions and task interpretations.', 'node_name': 'LLM-based task interpretation', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N16'}}, {'p': {'evidence_statement': 'The approach generates textual descriptions of human-relevant tasks from temporal videos.', 'node_name': 'Human intention narration approach', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N17'}}, {'p': {'evidence_statement': 'The approach recursively decomposes a task description and enables robot skill acquisition.', 'node_name': 'Language-guided robot skill acquisition approach', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N18'}}, {'p': {'evidence_statement': 'A 6-DOF exploration primitive is employed after LLM task decomposition.', 'node_name': '6-DOF exploration primitive', 'category': 'Technology-enable Practice', 'node_id': 'c102M01N19'}}]"
c102DS01Q05,Digital Technology,Which digital technology elements have been described?,1,"MATCH (dt:DigitalTechnology)
RETURN DISTINCT dt","GPT-4, Pre-trained video-text LLM, Transformer video encoder, Cross-attention module, Text decoder, Dual-encoder model, LLM, Rapidly-exploring random tree","[{'dt': {'evidence_statement': 'GPT-4 is tested for task interpretation in open-domain, assembly, and HRC images.', 'node_name': 'GPT-4', 'category': 'Digital Technology', 'node_id': 'c102M01N23'}}, {'dt': {'evidence_statement': 'The pre-trained video-text LLM is directly applied to downstream HRC validation without fine-tuning.', 'node_name': 'Pre-trained video-text LLM', 'category': 'Digital Technology', 'node_id': 'c102M01N24'}}, {'dt': {'evidence_statement': 'The stream of video images is fed into a Transformer video encoder.', 'node_name': 'Transformer video encoder', 'category': 'Digital Technology', 'node_id': 'c102M01N25'}}, {'dt': {'evidence_statement': 'A cross-attention module obtains global visual embeddings.', 'node_name': 'Cross-attention module', 'category': 'Digital Technology', 'node_id': 'c102M01N26'}}, {'dt': {'evidence_statement': 'A text decoder generates narrations from visual embeddings autoregressively.', 'node_name': 'Text decoder', 'category': 'Digital Technology', 'node_id': 'c102M01N27'}}, {'dt': {'evidence_statement': 'A dual-encoder model refines textual descriptions and generates human intention narration.', 'node_name': 'Dual-encoder model', 'category': 'Digital Technology', 'node_id': 'c102M01N28'}}, {'dt': {'evidence_statement': 'The LLM recursively decomposes task descriptions and infers interactions with multiple objects.', 'node_name': 'LLM', 'category': 'Digital Technology', 'node_id': 'c102M01N29'}}, {'dt': {'evidence_statement': 'The motion planner uses a rapidly-exploring random tree to generate diverse robot trajectories.', 'node_name': 'Rapidly-exploring random tree', 'category': 'Digital Technology', 'node_id': 'c102M01N30'}}]"
c102DS01Q06,Organizational Dependency,Which organizational dependencies are stated as necessary for technology-enable practices?,2,"MATCH (od:OrganizationalDependency)
RETURN DISTINCT od",Domain-specific knowledge and Pre-trained models,"[{'od': {'evidence_statement': 'training of these three modules heavily relies on domain-specific knowledge', 'node_name': 'Domain-specific knowledge', 'category': 'Organizational Dependency', 'node_id': 'c102M02N09'}}, {'od': {'evidence_statement': 'explorations rely on models pre-trained with domain knowledge in specific scenarios', 'node_name': 'Pre-trained models', 'category': 'Organizational Dependency', 'node_id': 'c102M02N38'}}]"
c102DS01Q07,Environment Dependency,Which external factors affect the implementation of technology-enable practices?,2,"MATCH (d:EnvironmentalDependency)
RETURN DISTINCT d",Not Mentioned,[]
c102DS01Q08,Limitation,Which limitations are been described,1,"MATCH (l:Limitation)
RETURN DISTINCT l","The limitations described include: domain-specific knowledge dependence, lack of generalization capabilities, hallucinatory or erroneous content, reasoning results unsuitable for direct practical applications, difficulty comprehending specific manufacturing task descriptions and planning robot motion, lack of transferability, erroneous inference, and challenges with small/partially occluded human hands.","[{'l': {'evidence_statement': 'Training the three traditional task-interpretation modules relies heavily on domain-specific knowledge.', 'node_name': 'Domain-specific knowledge dependence', 'category': 'Limitation', 'node_id': 'c102M01N31'}}, {'l': {'evidence_statement': 'Models produced by the traditional pipeline often lack generalization capabilities.', 'node_name': 'Lack of generalization capabilities', 'category': 'Limitation', 'node_id': 'c102M01N32'}}, {'l': {'evidence_statement': 'LLMs can produce hallucinatory or erroneous content during inference.', 'node_name': 'Hallucinatory or erroneous content', 'category': 'Limitation', 'node_id': 'c102M01N33'}}, {'l': {'evidence_statement': 'Hallucinatory output makes LLM reasoning results unsuitable for direct practical application in some tasks.', 'node_name': 'Reasoning results unsuitable for direct practical applications', 'category': 'Limitation', 'node_id': 'c102M01N34'}}, {'l': {'evidence_statement': 'The LLM still has difficulty comprehending specific manufacturing task descriptions and planning robot motion.', 'node_name': 'Difficulty comprehending specific manufacturing task descriptions and planning robot motion', 'category': 'Limitation', 'node_id': 'c102M01N35'}}, {'l': {'evidence_statement': 'lacking generalization and transferability for diverse manufacturing activities', 'node_name': 'Lack of transferability', 'category': 'Limitation', 'node_id': 'c102M02N40'}}, {'l': {'evidence_statement': 'renders their reasoning results unsuitable for direct practical applications in some tasks', 'node_name': 'Erroneous inference', 'category': 'Limitation', 'node_id': 'c102M02N43'}}, {'l': {'evidence_statement': 'challenges posed by small and partially occluded human hands in 3D body modeling', 'node_name': 'Small/partially occluded human hands', 'category': 'Limitation', 'node_id': 'c102M02N44'}}]"
c102DS01Q09,be_shared_by,Which tacit knowledge  is shared by knowledge holders?,2,"MATCH (tk:TacitKnowledge)-[r:be_shared_by]->(kh:KnowledgeHolder)
WITH COLLECT({src_node:tk, rel: r, dst_node: kh}) AS obj
RETURN DISTINCT obj","Human action intentions, Real-time spatial behaviors, and Collaborative coordination skills are shared by Humans; Robot learning and adaptation skills is shared by Robots.","[{'obj': [{'rel': ({'evidence_statement': 'The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.', 'node_name': 'Human action intentions', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N01'}, 'be_shared_by', {'evidence_statement': 'both the robot and the human have their own autonomy', 'node_name': 'Humans', 'category': 'Knowledge Holder', 'node_id': 'c102M02N16'}), 'dst_node': {'evidence_statement': 'both the robot and the human have their own autonomy', 'node_name': 'Humans', 'category': 'Knowledge Holder', 'node_id': 'c102M02N16'}, 'src_node': {'evidence_statement': 'The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.', 'node_name': 'Human action intentions', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N01'}}, {'rel': ({'evidence_statement': 'The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.', 'node_name': 'Human action intentions', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N01'}, 'be_shared_by', {'evidence_statement': 'Temporal-video examples show a human touching the robot and reaching out a hand, from which intentions are predicted.', 'node_name': 'Human', 'category': 'Knowledge Holder', 'node_id': 'c102M01N10'}), 'dst_node': {'evidence_statement': 'Temporal-video examples show a human touching the robot and reaching out a hand, from which intentions are predicted.', 'node_name': 'Human', 'category': 'Knowledge Holder', 'node_id': 'c102M01N10'}, 'src_node': {'evidence_statement': 'The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.', 'node_name': 'Human action intentions', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N01'}}, {'rel': ({'evidence_statement': 'perceive intricate environments', 'node_name': 'Real-time spatial behaviors', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N12'}, 'be_shared_by', {'evidence_statement': 'both the robot and the human have their own autonomy', 'node_name': 'Humans', 'category': 'Knowledge Holder', 'node_id': 'c102M02N16'}), 'dst_node': {'evidence_statement': 'both the robot and the human have their own autonomy', 'node_name': 'Humans', 'category': 'Knowledge Holder', 'node_id': 'c102M02N16'}, 'src_node': {'evidence_statement': 'perceive intricate environments', 'node_name': 'Real-time spatial behaviors', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N12'}}, {'rel': ({'evidence_statement': 'bi-directional assistance and feedback between humans and robots', 'node_name': 'Collaborative coordination skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N13'}, 'be_shared_by', {'evidence_statement': 'both the robot and the human have their own autonomy', 'node_name': 'Humans', 'category': 'Knowledge Holder', 'node_id': 'c102M02N16'}), 'dst_node': {'evidence_statement': 'both the robot and the human have their own autonomy', 'node_name': 'Humans', 'category': 'Knowledge Holder', 'node_id': 'c102M02N16'}, 'src_node': {'evidence_statement': 'bi-directional assistance and feedback between humans and robots', 'node_name': 'Collaborative coordination skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N13'}}, {'rel': ({'evidence_statement': 'acquire new operational skills through human-robot interaction or curriculum learning', 'node_name': 'Robot learning and adaptation skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N14'}, 'be_shared_by', {'evidence_statement': 'robotic component within the loop functions acts as a natural extension of the human body', 'node_name': 'Robots', 'category': 'Knowledge Holder', 'node_id': 'c102M02N17'}), 'dst_node': {'evidence_statement': 'robotic component within the loop functions acts as a natural extension of the human body', 'node_name': 'Robots', 'category': 'Knowledge Holder', 'node_id': 'c102M02N17'}, 'src_node': {'evidence_statement': 'acquire new operational skills through human-robot interaction or curriculum learning', 'node_name': 'Robot learning and adaptation skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N14'}}]}]"
c102DS01Q10,be_absorbed_by,which tacit knowledge is absorbed by knowledge learners?,2,"MATCH (tk:TacitKnowledge)-[r:be_absorbed_by]-(kl:KnowledgeLearner)
WITH COLLECT({src_node:tk, rel: r, dst_node: kl}) AS obj
RETURN DISTINCT obj","Human action intentions, Robot operational skills, and Robot learning and adaptation skills are absorbed by the Robot.","[{'obj': [{'rel': ({'evidence_statement': 'The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.', 'node_name': 'Human action intentions', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N01'}, 'be_absorbed_by', {'evidence_statement': 'The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.', 'node_name': 'Robot', 'category': 'Knowledge Learner', 'node_id': 'c102M01N11'}), 'dst_node': {'evidence_statement': 'The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.', 'node_name': 'Robot', 'category': 'Knowledge Learner', 'node_id': 'c102M01N11'}, 'src_node': {'evidence_statement': 'The validation test applies a pre-trained video-text LLM to learn human action intentions from temporal video.', 'node_name': 'Human action intentions', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N01'}}, {'rel': ({'evidence_statement': 'The LLM-based method enables a robot to acquire skills from a task description.', 'node_name': 'Robot operational skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N02'}, 'be_absorbed_by', {'evidence_statement': 'The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.', 'node_name': 'Robot', 'category': 'Knowledge Learner', 'node_id': 'c102M01N11'}), 'dst_node': {'evidence_statement': 'The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.', 'node_name': 'Robot', 'category': 'Knowledge Learner', 'node_id': 'c102M01N11'}, 'src_node': {'evidence_statement': 'The LLM-based method enables a robot to acquire skills from a task description.', 'node_name': 'Robot operational skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M01N02'}}, {'rel': ({'evidence_statement': 'acquire new operational skills through human-robot interaction or curriculum learning', 'node_name': 'Robot learning and adaptation skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N14'}, 'be_absorbed_by', {'evidence_statement': 'The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.', 'node_name': 'Robot', 'category': 'Knowledge Learner', 'node_id': 'c102M01N11'}), 'dst_node': {'evidence_statement': 'The robot acquires skills, learns execution policies, and adjusts operations based on human intentions.', 'node_name': 'Robot', 'category': 'Knowledge Learner', 'node_id': 'c102M01N11'}, 'src_node': {'evidence_statement': 'acquire new operational skills through human-robot interaction or curriculum learning', 'node_name': 'Robot learning and adaptation skills', 'category': 'Tacit Knowledge', 'node_id': 'c102M02N14'}}]}]"
