ID,Object,Question,Weight,Cypher,Answer,Evidence
c101DS01Q01,Tacit knowledge,which tacit knowledge elements are described?,1,"MATCH (tk:TacitKnowledge)
RETURN DISTINCT tk","Informal verbal report; tacit operational knowledge of the informal maintenance process; Tacit knowledge (unwritten, experience-based insights)","[{'tk': {'evidence_statement': 'operator verbally explains the problem', 'node_name': 'Informal verbal report', 'category': 'Tacit Knowledge', 'node_id': 'c101M02N33'}}, {'tk': {'evidence_statement': 'The evaluation aimed to transform tacit knowledge of the informal maintenance process into a structured AS-IS model.', 'node_name': 'tacit operational knowledge of the informal maintenance process', 'category': 'Tacit Knowledge', 'node_id': 'c101M01N01'}}, {'tk': {'evidence_statement': 'Tacit knowledge—the unwritten, experience-based insights people carry in their heads—is notoriously difficult to articulate', 'node_name': 'Tacit knowledge', 'category': 'Tacit Knowledge', 'node_id': 'c101M02N01'}}]"
c101DS01Q02,Knowledge Holder,Which knowledge holders are described?,2,"MATCH (kh:KnowledgeHolder)
RETURN DISTINCT kh","user, veteran staff, assembly line operator, maintenance supervisor, non-specialist technician","[{'kh': {'evidence_statement': 'The user initiated the conversation by describing the entire reactive maintenance process in a detailed message.', 'node_name': 'user', 'category': 'Knowledge Holder', 'node_id': 'c101M01N02'}}, {'kh': {'evidence_statement': 'The paper states that undocumented expertise departs when veteran staff retire or switch jobs.', 'node_name': 'veteran staff', 'category': 'Knowledge Holder', 'node_id': 'c101M01N03'}}, {'kh': {'evidence_statement': 'An assembly line operator hears a strange noise from a machine. He shuts it down and walks over to the maintenance workshop to report it', 'node_name': 'Assembly line operator', 'category': 'Knowledge Holder', 'node_id': 'c101M02N06'}}, {'kh': {'evidence_statement': 'The supervisor grabs the nearest available technician, who may or may not be the expert on that specific machine', 'node_name': 'Maintenance supervisor', 'category': 'Knowledge Holder', 'node_id': 'c101M02N07'}}, {'kh': {'evidence_statement': 'the nearest available technician, who may or may not be the expert on that specific machine, and sends them to investigate', 'node_name': 'Non-specialist technician', 'category': 'Knowledge Holder', 'node_id': 'c101M02N08'}}]"
c101DS01Q03,Traditional Human-centred Practices,Which traditional human-centred practice elements are described?,2,"MATCH (t:TraditionalHumancentralPractice)
RETURN DISTINCT t","Technician dispatch, informal manual communication, verbal reporting of a machine fault, verbal explanation of the problem, manual inventory checks, paper-based purchase requests, handwritten 'Awaiting Part' sign, paper purchase request, handwritten sign.","[{'t': {'evidence_statement': 'The supervisor grabs the nearest available technician', 'node_name': 'Technician dispatch', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M02N34'}}, {'t': {'evidence_statement': 'The existing maintenance workflow is described as relying on informal, manual communication.', 'node_name': 'informal, manual communication', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M01N04'}}, {'t': {'evidence_statement': 'The process begins when an operator verbally reports a machine fault to a supervisor.', 'node_name': 'verbal reporting of a machine fault', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M01N05'}}, {'t': {'evidence_statement': 'The operator finds the maintenance supervisor and verbally explains the problem.', 'node_name': 'verbal explanation of the problem', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M01N06'}}, {'t': {'evidence_statement': 'The technician returns to the workshop to check the physical spare-parts inventory.', 'node_name': 'manual inventory checks', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M01N07'}}, {'t': {'evidence_statement': ""The technician fills out a paper purchase request and leaves it on the procurement manager's desk."", 'node_name': 'paper-based purchase requests', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M01N08'}}, {'t': {'evidence_statement': 'The technician leaves a handwritten Awaiting Part sign on the machine.', 'node_name': ""handwritten 'Awaiting Part' sign"", 'category': 'Traditional Human-central Practice', 'node_id': 'c101M01N09'}}, {'t': {'evidence_statement': ""fills out a paper purchase request form and leaves it on the procurement manager's desk"", 'node_name': 'Paper purchase request', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M02N14'}}, {'t': {'evidence_statement': ""leave a handwritten 'Awaiting Part' sign on it"", 'node_name': 'Handwritten sign', 'category': 'Traditional Human-central Practice', 'node_id': 'c101M02N15'}}]"
c101DS01Q04,technology-enable Practice,Which technology‑enable practices have been described?,1,"MATCH (p:TechnologyenablePractice)
RETURN DISTINCT p","The technology-enabled practices described include an LLM-powered chatbot, interactive modelling session, conversational frontend, client-side visualization, intelligence layer, prompt engineering for structured output, LLM-driven conversational assistant, and Gradio front-end.","[{'p': {'evidence_statement': 'The paper presents an LLM-powered chatbot that guides users in describing workflows and incrementally constructs a BPMN model.', 'node_name': 'LLM-powered chatbot', 'category': 'Technology-enable Practice', 'node_id': 'c101M01N10'}}, {'p': {'evidence_statement': 'The evaluation was conducted through an interactive dialogue between a user and the chatbot.', 'node_name': 'interactive modelling session', 'category': 'Technology-enable Practice', 'node_id': 'c101M01N11'}}, {'p': {'evidence_statement': 'The implemented split-screen interface contains a chat window and a diagram canvas.', 'node_name': 'conversational frontend', 'category': 'Technology-enable Practice', 'node_id': 'c101M01N12'}}, {'p': {'evidence_statement': 'Process diagrams are rendered in the browser, providing instant visual feedback and diagram interaction.', 'node_name': 'client-side visualization', 'category': 'Technology-enable Practice', 'node_id': 'c101M01N13'}}, {'p': {'evidence_statement': ""The system's core logic is described as an intelligence layer powered by Google's Gemini 2.5 Pro API."", 'node_name': 'intelligence layer', 'category': 'Technology-enable Practice', 'node_id': 'c101M01N14'}}, {'p': {'evidence_statement': 'The system prompt was refined to compel a structured and predictable response containing XML and JSON blocks.', 'node_name': 'prompt engineering for structured output', 'category': 'Technology-enable Practice', 'node_id': 'c101M01N15'}}, {'p': {'evidence_statement': 'This paper introduces a large-language-model (LLM)-driven conversational assistant that captures such knowledge on the shop floor and converts it incrementally and interactively into standards-compliant BPMN 2.0 diagrams', 'node_name': 'LLM-driven conversational assistant', 'category': 'Technology-enable Practice', 'node_id': 'c101M02N16'}}, {'p': {'evidence_statement': 'The user interface is built with Gradio, an open-source Python framework that enables the rapid development of web-based UIs', 'node_name': 'Gradio front-end', 'category': 'Technology-enable Practice', 'node_id': 'c101M02N17'}}]"
c101DS01Q05,Digital Technology,Which digital technology elements have been described?,1,"MATCH (dt:DigitalTechnology)
RETURN DISTINCT dt","Gemini 2.5 Pro API, Gradio, bpmn-js","[{'dt': {'evidence_statement': ""The system's core logic is entirely powered by Google's Gemini 2.5 Pro API."", 'node_name': 'Gemini 2.5 Pro API', 'category': 'Digital Technology', 'node_id': 'c101M01N16'}}, {'dt': {'evidence_statement': 'The user interface is built with Gradio, an open-source Python framework for web-based machine-learning interfaces.', 'node_name': 'Gradio', 'category': 'Digital Technology', 'node_id': 'c101M01N17'}}, {'dt': {'evidence_statement': 'Process diagrams are rendered in the browser using bpmn-js.', 'node_name': 'bpmn-js', 'category': 'Digital Technology', 'node_id': 'c101M01N18'}}]"
c101DS01Q06,Organizational Dependency,Which organizational dependencies are stated as necessary for technology-enable practices?,2,"MATCH (od:OrganizationalDependency)
RETURN DISTINCT od",Not Mentioned,"[{'od': {'evidence_statement': 'The current workflow requires the user to describe the process in detail upfront.', 'node_name': 'detailed upfront process description', 'category': 'Organizational Dependency', 'node_id': 'c101M01N33'}}, {'od': {'evidence_statement': 'well-defined process models support consistent execution, training and compliance', 'node_name': 'Management buy-in', 'category': 'Organizational Dependency', 'node_id': 'c101M02N22'}}]"
c101DS01Q07,Environment Dependency,Which external factors affect the implementation of technology-enable practices?,2,"MATCH (d:EnvironmentalDependency)
RETURN DISTINCT d",Physical location constraint and industry regulation.,"[{'d': {'evidence_statement': 'walks over to the maintenance workshop... walks to the machine... walk back to the workshop', 'node_name': 'Physical location constraint', 'category': 'Environmental Dependency', 'node_id': 'c101M02N24'}}, {'d': {'evidence_statement': 'well-defined process models support... compliance', 'node_name': 'Industry regulation', 'category': 'Environmental Dependency', 'node_id': 'c101M02N25'}}]"
c101DS01Q08,Limitation,Which limitations are been described,1,"MATCH (l:Limitation)
RETURN DISTINCT l","The limitations described include: reactive and informal manual workflow; tacit knowledge being hard to articulate; undocumented expertise departing with veteran staff (knowledge loss, operational disruption, quality drift); need for specialised BPM modelling skills; inconsistent or malformed XML from early prompt iterations; significant system latency; verbose BPMN XML generation (token-intensive, cost/time); non-deterministic LLM outputs; no awareness of final visual layout; lack of formal evaluation of TO-BE model quality; lack of formalized digitally-tracked system; absence of data capture; poor visibility for production managers; XML verbosity.","[{'l': {'evidence_statement': 'The existing workflow is almost entirely reactive and relies on informal, manual communication', 'node_name': 'Reactive process', 'category': 'Limitation', 'node_id': 'c101M02N32'}}, {'l': {'evidence_statement': 'Tacit knowledge is described as unwritten, experience-based knowledge that is notoriously difficult to articulate.', 'node_name': 'hard to articulate', 'category': 'Limitation', 'node_id': 'c101M01N24'}}, {'l': {'evidence_statement': 'When veteran staff retire or change jobs, their undocumented expertise leaves with them.', 'node_name': 'undocumented expertise departs with veteran staff', 'category': 'Limitation', 'node_id': 'c101M01N25'}}, {'l': {'evidence_statement': 'The paper states that BPM modelling tools require specialised skills.', 'node_name': 'specialised BPM modelling skills required', 'category': 'Limitation', 'node_id': 'c101M01N26'}}, {'l': {'evidence_statement': 'Early prompt iterations produced inconsistent or malformed XML, and Gemini Flash outputs sometimes failed to render.', 'node_name': 'inconsistent or malformed XML', 'category': 'Limitation', 'node_id': 'c101M01N28'}}, {'l': {'evidence_statement': 'The complete evaluated sequence took over 12 minutes, and a single complex output sometimes took up to 10 minutes.', 'node_name': 'significant system latency', 'category': 'Limitation', 'node_id': 'c101M01N29'}}, {'l': {'evidence_statement': 'Large BPMN XML files are described as token-intensive and as directly increasing cost and processing time.', 'node_name': 'verbose BPMN XML generation', 'category': 'Limitation', 'node_id': 'c101M01N30'}}, {'l': {'evidence_statement': 'The same prompt can produce different results because LLM output is stochastic rather than deterministic.', 'node_name': 'non-deterministic LLM outputs', 'category': 'Limitation', 'node_id': 'c101M01N31'}}, {'l': {'evidence_statement': 'The current system generates BPMN code but has no awareness of the final visual layout.', 'node_name': 'no awareness of the final visual layout', 'category': 'Limitation', 'node_id': 'c101M01N32'}}, {'l': {'evidence_statement': 'The study states that it lacks a formal evaluation of the quality of the generated TO-BE model.', 'node_name': 'lack of formal evaluation of “TO-BE” model quality', 'category': 'Limitation', 'node_id': 'c101M01N34'}}, {'l': {'evidence_statement': 'The existing workflow lacks a formalized, digitally tracked system, producing poor visibility for production managers.', 'node_name': 'lack of a formalized, digitally-tracked system', 'category': 'Limitation', 'node_id': 'c101M01N35'}}, {'l': {'evidence_statement': 'The absence of data capture prevents analysis of machine reliability and failure patterns.', 'node_name': 'absence of data capture', 'category': 'Limitation', 'node_id': 'c101M01N36'}}, {'l': {'evidence_statement': 'When veteran staff retire or switch jobs, this undocumented expertise departs with them, risking operational disruption, quality drift, and lengthy onboarding', 'node_name': 'Knowledge loss upon departure', 'category': 'Limitation', 'node_id': 'c101M02N03'}}, {'l': {'evidence_statement': 'this undocumented expertise departs with them, risking operational disruption, quality drift, and lengthy onboarding for replacements', 'node_name': 'Operational disruption', 'category': 'Limitation', 'node_id': 'c101M02N04'}}, {'l': {'evidence_statement': 'this undocumented expertise departs with them, risking operational disruption, quality drift, and lengthy onboarding for replacements', 'node_name': 'Quality drift', 'category': 'Limitation', 'node_id': 'c101M02N05'}}, {'l': {'evidence_statement': 'This delay is largely attributable to the verbosity of the BPMN XML format. Generating large, structured text files is a token-intensive task', 'node_name': 'XML verbosity', 'category': 'Limitation', 'node_id': 'c101M02N28'}}, {'l': {'evidence_statement': 'leads to poor visibility for production managers, who cannot predict repair times or adjust schedules effectively', 'node_name': 'Poor visibility', 'category': 'Limitation', 'node_id': 'c101M02N30'}}]"
c101DS01Q09,be_shared_by,Which tacit knowledge  is shared by knowledge holders?,2,"MATCH (tk:TacitKnowledge)-[r:be_shared_by]->(kh:KnowledgeHolder)
WITH COLLECT({src_node:tk, rel: r, dst_node: kh}) AS obj
RETURN DISTINCT obj",tacit operational knowledge of the informal maintenance process and tacit knowledge are shared by knowledge holders (user and veteran staff).,"[{'obj': [{'rel': ({'evidence_statement': 'The evaluation aimed to transform tacit knowledge of the informal maintenance process into a structured AS-IS model.', 'node_name': 'tacit operational knowledge of the informal maintenance process', 'category': 'Tacit Knowledge', 'node_id': 'c101M01N01'}, 'be_shared_by', {'evidence_statement': 'The user initiated the conversation by describing the entire reactive maintenance process in a detailed message.', 'node_name': 'user', 'category': 'Knowledge Holder', 'node_id': 'c101M01N02'}), 'dst_node': {'evidence_statement': 'The user initiated the conversation by describing the entire reactive maintenance process in a detailed message.', 'node_name': 'user', 'category': 'Knowledge Holder', 'node_id': 'c101M01N02'}, 'src_node': {'evidence_statement': 'The evaluation aimed to transform tacit knowledge of the informal maintenance process into a structured AS-IS model.', 'node_name': 'tacit operational knowledge of the informal maintenance process', 'category': 'Tacit Knowledge', 'node_id': 'c101M01N01'}}, {'rel': ({'evidence_statement': 'The evaluation aimed to transform tacit knowledge of the informal maintenance process into a structured AS-IS model.', 'node_name': 'tacit operational knowledge of the informal maintenance process', 'category': 'Tacit Knowledge', 'node_id': 'c101M01N01'}, 'be_shared_by', {'evidence_statement': 'The paper states that undocumented expertise departs when veteran staff retire or switch jobs.', 'node_name': 'veteran staff', 'category': 'Knowledge Holder', 'node_id': 'c101M01N03'}), 'dst_node': {'evidence_statement': 'The paper states that undocumented expertise departs when veteran staff retire or switch jobs.', 'node_name': 'veteran staff', 'category': 'Knowledge Holder', 'node_id': 'c101M01N03'}, 'src_node': {'evidence_statement': 'The evaluation aimed to transform tacit knowledge of the informal maintenance process into a structured AS-IS model.', 'node_name': 'tacit operational knowledge of the informal maintenance process', 'category': 'Tacit Knowledge', 'node_id': 'c101M01N01'}}, {'rel': ({'evidence_statement': 'Tacit knowledge—the unwritten, experience-based insights people carry in their heads—is notoriously difficult to articulate', 'node_name': 'Tacit knowledge', 'category': 'Tacit Knowledge', 'node_id': 'c101M02N01'}, 'be_shared_by', {'evidence_statement': 'The paper states that undocumented expertise departs when veteran staff retire or switch jobs.', 'node_name': 'veteran staff', 'category': 'Knowledge Holder', 'node_id': 'c101M01N03'}), 'dst_node': {'evidence_statement': 'The paper states that undocumented expertise departs when veteran staff retire or switch jobs.', 'node_name': 'veteran staff', 'category': 'Knowledge Holder', 'node_id': 'c101M01N03'}, 'src_node': {'evidence_statement': 'Tacit knowledge—the unwritten, experience-based insights people carry in their heads—is notoriously difficult to articulate', 'node_name': 'Tacit knowledge', 'category': 'Tacit Knowledge', 'node_id': 'c101M02N01'}}]}]"
c101DS01Q10,be_absorbed_by,which tacit knowledge is absorbed by knowledge learners?,2,"MATCH (tk:TacitKnowledge)-[r:be_absorbed_by]-(kl:KnowledgeLearner)
WITH COLLECT({src_node:tk, rel: r, dst_node: kl}) AS obj
RETURN DISTINCT obj",Not Mentioned,[{'obj': []}]
