ID,Object,Question,Weight,Cypher,Answer,Evidence
c106DS01Q01,Tacit knowledge,which tacit knowledge elements are described?,1,"MATCH (tk:TacitKnowledge)
RETURN DISTINCT tk","The tacit knowledge elements described include procedural knowledge for complex machinery setup, technical skills beyond merely understanding the setup cycle, autonomous and reliable machinery setup, and recognition and correction of potential errors.","[{'tk': {'evidence_statement': 'The study assessed whether workers retained the complete assembly procedure immediately and after six days.', 'node_name': 'procedural knowledge for complex machinery setup', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N06'}}, {'tk': {'evidence_statement': 'Trainer explanations were intended to develop technical skills beyond merely knowing the setup cycle.', 'node_name': 'technical skills beyond the mere understanding of the setup cycle', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N07'}}, {'tk': {'evidence_statement': 'Workers were asked to perform without guidance to assess whether they could work autonomously and reliably while preventing mistakes.', 'node_name': 'autonomous and reliable machinery setup', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N08'}}, {'tk': {'evidence_statement': 'The authors report that the AR training supported recognition and correction of potential setup errors.', 'node_name': 'recognition and correction of potential errors', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N09'}}]"
c106DS01Q02,Knowledge Holder,Which knowledge holders are described?,2,"MATCH (kh:KnowledgeHolder)
RETURN DISTINCT kh",company veteran trainer; Trainer / Veteran,"[{'kh': {'evidence_statement': 'The trainer was a qualified company veteran who provided operative support to new workers.', 'node_name': 'company veteran trainer', 'category': 'Knowledge Holder', 'node_id': 'c106M01N10'}}, {'kh': {'evidence_statement': 'It is supposed that each group is supported by a trainer during some parts of the test. The trainer is a company veteran who has been qualified to provide operative support to new workers during training.', 'node_name': 'Trainer / Veteran', 'category': 'Knowledge Holder', 'node_id': 'c106M02N04'}}]"
c106DS01Q03,Traditional Human-centred Practices,Which traditional human-centred practice elements are described?,2,"MATCH (t:TraditionalHumancentralPractice)
RETURN DISTINCT t",trainer-supported machinery setup training; Traditional Training Approach,"[{'t': {'evidence_statement': 'During Scenario 2, the trainer explained machinery parts, processes, functionalities, and technical features.', 'node_name': 'trainer-supported machinery setup training', 'category': 'Traditional Human-central Practice', 'node_id': 'c106M01N13'}}, {'t': {'evidence_statement': 'The confirmation group (G1) has been selected to simulate the training of the machinery setup using the traditional approaches already employed in the company.', 'node_name': 'Traditional Training Approach', 'category': 'Traditional Human-central Practice', 'node_id': 'c106M02N05'}}]"
c106DS01Q04,technology-enable Practice,Which technology‑enable practices have been described?,1,"MATCH (p:TechnologyenablePractice)
RETURN DISTINCT p","The technology-enabled practices described include digital procedures displayed on a large smart screen, a VMAR-based training module, superimposition of digital and physical objects via HMD, a hand menu for interaction, and a virtual dashboard.","[{'p': {'evidence_statement': 'G1 used digital procedures displayed on a large smart screen and navigated with a keyboard.', 'node_name': 'digital procedures provided by a screen', 'category': 'Technology-enable Practice', 'node_id': 'c106M01N14'}}, {'p': {'evidence_statement': 'The implemented module combined VM and AR solutions to support learning and trainer intervention.', 'node_name': 'VMAR-based training module', 'category': 'Technology-enable Practice', 'node_id': 'c106M01N15'}}, {'p': {'evidence_statement': 'G2 viewed digital component models overlaid on their intended physical locations through the HMD.', 'node_name': 'superimposition of digital and physical objects', 'category': 'Technology-enable Practice', 'node_id': 'c106M01N16'}}, {'p': {'evidence_statement': 'The hand-bound menu enabled step selection, hologram control, and access to additional information.', 'node_name': 'Hand menu', 'category': 'Technology-enable Practice', 'node_id': 'c106M01N17'}}, {'p': {'evidence_statement': 'The dashboard displayed the current step and indicated whether additional information was available.', 'node_name': 'Virtual Dashboard', 'category': 'Technology-enable Practice', 'node_id': 'c106M01N18'}}]"
c106DS01Q05,Digital Technology,Which digital technology elements have been described?,1,"MATCH (dt:DigitalTechnology)
RETURN DISTINCT dt","Augmented Reality technology, Microsoft HoloLens 2, Microsoft Mixed Reality Toolkit version 2.8.3, HoloLens 2 (HMD), Digital PDF / Screen","[{'dt': {'evidence_statement': 'AR was used to project and superimpose digital instructions and component models within the physical scene.', 'node_name': 'Augmented Reality technology', 'category': 'Digital Technology', 'node_id': 'c106M01N19'}}, {'dt': {'evidence_statement': 'Microsoft HoloLens 2 was the head-mounted display used in the experiment.', 'node_name': 'Microsoft HoloLens 2', 'category': 'Digital Technology', 'node_id': 'c106M01N20'}}, {'dt': {'evidence_statement': 'MRTK version 2.8.3 was used with Unity and implemented the hand-menu interaction.', 'node_name': 'Microsoft Mixed Reality Toolkit version 2.8.3', 'category': 'Digital Technology', 'node_id': 'c106M01N22'}}, {'dt': {'evidence_statement': 'The HMD used for the experiment was the Microsoft HoloLens 2. This is used by G2 as the guidance device.', 'node_name': 'HoloLens 2 (HMD)', 'category': 'Digital Technology', 'node_id': 'c106M02N07'}}, {'dt': {'evidence_statement': 'For G1, a large-sized smart screen for the visualisation of the digital instructions from the PDF form was located close to the machinery.', 'node_name': 'Digital PDF / Screen', 'category': 'Digital Technology', 'node_id': 'c106M02N08'}}]"
c106DS01Q06,Organizational Dependency,Which organizational dependencies are stated as necessary for technology-enable practices?,2,"MATCH (od:OrganizationalDependency)
RETURN DISTINCT od",Not Mentioned,"[{'od': {'evidence_statement': 'G2 received HMD pre-training because participants had not previously used AR.', 'node_name': 'pre-training related to the use of the HMD', 'category': 'Organizational Dependency', 'node_id': 'c106M01N23'}}, {'od': {'evidence_statement': 'The research team predefined trainer support to avoid unequal suggestions and experimental bias.', 'node_name': 'standardised trainer support', 'category': 'Organizational Dependency', 'node_id': 'c106M01N24'}}, {'od': {'evidence_statement': 'Both groups used the same labels and color code to identify and pick components from storage.', 'node_name': 'visual guides and colour coding in the storage area', 'category': 'Organizational Dependency', 'node_id': 'c106M01N25'}}, {'od': {'evidence_statement': ""Gratitude is extended to GlobalWafers - MEMC Electronic Materials S.p.A.' for its support and collaboration, providing resources and technical expertise..."", 'node_name': 'Corporate / Company Support', 'category': 'Organizational Dependency', 'node_id': 'c106M02N14'}}]"
c106DS01Q07,Environment Dependency,Which external factors affect the implementation of technology-enable practices?,2,"MATCH (d:EnvironmentalDependency)
RETURN DISTINCT d",Not Mentioned,"[{'d': {'evidence_statement': 'The case was implemented at the company with existing machinery in a realistic industrial environment.', 'node_name': 'realistic industrial environment', 'category': 'Environmental Dependency', 'node_id': 'c106M01N26'}}]"
c106DS01Q08,Limitation,Which limitations are been described,1,"MATCH (l:Limitation)
RETURN DISTINCT l","The limitations described include: high amount of textual information, information overload, complex machinery setup sequence, frequent machinery modifications, lack of interactivity, forgetting curve, increased physical and mental workload, HMD overheating and diminishing hardware performance, supplementary battery requirement, and six-day LT-PKR evaluation period.","[{'l': {'evidence_statement': 'The paper states that conventional approaches often involve a high amount of textual information.', 'node_name': 'high amount of textual information', 'category': 'Limitation', 'node_id': 'c106M01N27'}}, {'l': {'evidence_statement': 'Training was staged and holograms were selectively displayed to reduce information overload.', 'node_name': 'information overload', 'category': 'Limitation', 'node_id': 'c106M01N28'}}, {'l': {'evidence_statement': 'The company’s setup sequence was described as complex, long, and requiring error-free execution.', 'node_name': 'complex machinery setup sequence', 'category': 'Limitation', 'node_id': 'c106M01N29'}}, {'l': {'evidence_statement': 'Prototype machinery underwent frequent changes in components and setup sequences.', 'node_name': 'frequent machinery modifications', 'category': 'Limitation', 'node_id': 'c106M01N30'}}, {'l': {'evidence_statement': 'Traditional solutions face limitations in terms of interactivity, engagement, adaptability, practical application, feedback mechanisms, cost efficiency, and accessibility.', 'node_name': 'Lack of Interactivity', 'category': 'Limitation', 'node_id': 'c106M02N10'}}, {'l': {'evidence_statement': 'The analysis demonstrates the inefficacy of traditional approaches in properly supporting the training of complex machinery setups. Considering G1, the total weighted errors increased by 60.0% between session 1 and session 2.', 'node_name': 'Forgetting Curve', 'category': 'Limitation', 'node_id': 'c106M02N11'}}, {'l': {'evidence_statement': 'More than two hours of HMD use increased worker workload and produced fatigue.', 'node_name': 'increased physical and mental workload', 'category': 'Limitation', 'node_id': 'c106M01N31'}}, {'l': {'evidence_statement': 'Extended HMD use caused overheating and reduced hardware performance.', 'node_name': 'HMD overheating and diminishing hardware performance', 'category': 'Limitation', 'node_id': 'c106M01N32'}}, {'l': {'evidence_statement': 'The experiment required supplementary batteries and continuous battery changing or charging.', 'node_name': 'supplementary battery requirement', 'category': 'Limitation', 'node_id': 'c106M01N33'}}, {'l': {'evidence_statement': 'LT-PKR was tested after six days, while the paper notes that no specific rule defines a long-term interval.', 'node_name': 'six-day LT-PKR evaluation period', 'category': 'Limitation', 'node_id': 'c106M01N35'}}]"
c106DS01Q09,be_shared_by,Which tacit knowledge  is shared by knowledge holders?,2,"MATCH (tk:TacitKnowledge)-[r:be_shared_by]->(kh:KnowledgeHolder)
WITH COLLECT({src_node:tk, rel: r, dst_node: kh}) AS obj
RETURN DISTINCT obj",recognition and correction of potential errors,"[{'obj': [{'rel': ({'evidence_statement': 'The authors report that the AR training supported recognition and correction of potential setup errors.', 'node_name': 'recognition and correction of potential errors', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N09'}, 'be_shared_by', {'evidence_statement': 'It is supposed that each group is supported by a trainer during some parts of the test. The trainer is a company veteran who has been qualified to provide operative support to new workers during training.', 'node_name': 'Trainer / Veteran', 'category': 'Knowledge Holder', 'node_id': 'c106M02N04'}), 'dst_node': {'evidence_statement': 'It is supposed that each group is supported by a trainer during some parts of the test. The trainer is a company veteran who has been qualified to provide operative support to new workers during training.', 'node_name': 'Trainer / Veteran', 'category': 'Knowledge Holder', 'node_id': 'c106M02N04'}, 'src_node': {'evidence_statement': 'The authors report that the AR training supported recognition and correction of potential setup errors.', 'node_name': 'recognition and correction of potential errors', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N09'}}]}]"
c106DS01Q10,be_absorbed_by,which tacit knowledge is absorbed by knowledge learners?,2,"MATCH (tk:TacitKnowledge)-[r:be_absorbed_by]-(kl:KnowledgeLearner)
WITH COLLECT({src_node:tk, rel: r, dst_node: kl}) AS obj
RETURN DISTINCT obj",autonomous and reliable machinery setup; recognition and correction of potential errors,"[{'obj': [{'rel': ({'evidence_statement': 'Workers were asked to perform without guidance to assess whether they could work autonomously and reliably while preventing mistakes.', 'node_name': 'autonomous and reliable machinery setup', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N08'}, 'be_absorbed_by', {'evidence_statement': 'Seven company workers formed the group trained with the VMAR module.', 'node_name': 'Test Group (G2)', 'category': 'Knowledge Learner', 'node_id': 'c106M01N12'}), 'dst_node': {'evidence_statement': 'Seven company workers formed the group trained with the VMAR module.', 'node_name': 'Test Group (G2)', 'category': 'Knowledge Learner', 'node_id': 'c106M01N12'}, 'src_node': {'evidence_statement': 'Workers were asked to perform without guidance to assess whether they could work autonomously and reliably while preventing mistakes.', 'node_name': 'autonomous and reliable machinery setup', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N08'}}, {'rel': ({'evidence_statement': 'The authors report that the AR training supported recognition and correction of potential setup errors.', 'node_name': 'recognition and correction of potential errors', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N09'}, 'be_absorbed_by', {'evidence_statement': 'Seven company workers formed the group trained with the VMAR module.', 'node_name': 'Test Group (G2)', 'category': 'Knowledge Learner', 'node_id': 'c106M01N12'}), 'dst_node': {'evidence_statement': 'Seven company workers formed the group trained with the VMAR module.', 'node_name': 'Test Group (G2)', 'category': 'Knowledge Learner', 'node_id': 'c106M01N12'}, 'src_node': {'evidence_statement': 'The authors report that the AR training supported recognition and correction of potential setup errors.', 'node_name': 'recognition and correction of potential errors', 'category': 'Tacit Knowledge', 'node_id': 'c106M01N09'}}]}]"
